" (A) How was there enough matter and energy in the system for a zombie fire to burn under ice?

Make sure in your answer you discuss how peat formed in the arctic, why peat hasn't decomposed and how those two things contribute to zombie fires. 

Sentence Starters:
--> Zombie fires can burn under ice because...
---> Peat is formed by...
---> In the past, the arctic was different than today because...
","   (B) What will happen in the future if temperatures continue to rise?

Make sure you talk about zombie fires in your answer. 

Sentence Starters:
--> If the temperature on Earth continues to rise...",SCORE,improvement,strengths
"Zombie fires can burn under ice because of the trapped peat under the ice which serves as a burning source and fuel to keep a fire going. The reason why the peat is still there which is the fuel, is that 11,000 years ago the tilt of the earth had a larger angle of 24.8 degrees and because of the tilt being bigger the arctic used to be warm  and because of the energy from the sun the plants were able to grow and perform photosynthesis like in the tilt investigation lab we tested if the amount of light effects the photosynthesis and the one with the most light did the most photosynthesis which let out the most oxygen which turned the BTB blue which was our goal. The reason why peat is still there is because of the super cold temperature. And the reason why it is so cold now is because of the tilt angle shortening which made the arctic get a' lot less sun which made sure the peat would not decompose like in the yeast lab we tested if the temperature effected the amount of co2 was let out which is let out when something decomposes and the one who decomposed the most was the warm temperature. This relates to zombie fires because of the temperature it alows it to not decompose but when the fire burns it lets out more co2  which would melt the ice which would expose the peat to o2 and the more oxygen exposed makes the fire bigger overall letting out more carbion dioxide.","If the temperature of the earth begins to rise the permafrost in the arctic will melt which would expose it to more oxygen which would make the fires burn and get bigger making the atmospheres condition worse because of the carbon dioxide released from the fires  because of the burned plants from the photosynthesis 11,000 years ago because of the temperature change which made the peat to acts as fuel to burn which will overall make more fires",3,"To enhance your response, consider organizing your ideas more clearly into distinct sections. Begin by clearly stating your claim, then use separate paragraphs to discuss each piece of evidence from the class activities, such as the 'tilt investigation lab' and the 'yeast lab'. This will help in making your explanation easier to follow. Additionally, when discussing the future implications of your findings, make a direct prediction about what will happen if temperatures continue to rise, and support it with evidence from your investigations. For instance, you could expand on how increased CO2 emissions from burning peat might affect global temperatures and ice melt, connecting back to the evidence you've gathered.","You've done an excellent job explaining how zombie fires can burn under ice by connecting the formation of peat to historical climate conditions. Your explanation that 'Zombie fires can burn under ice because of the trapped peat under the ice which serves as a burning source and fuel to keep a fire going' clearly states your claim, and you support this with evidence from class experiments. You effectively use the 'tilt investigation lab' to explain how historical conditions allowed for photosynthesis, leading to peat formation. Furthermore, your connection between the cold temperatures and the lack of decomposition of peat is well articulated. You also successfully relate this to the 'yeast lab' by explaining how temperature affects decomposition and CO2 release."
"Peat is formed by dead plants and the zombie fires goes under the ice in the winter. Their is 1.5 trillion metric tons of carbon in peat in the permafrost. The earths tilt is 24.5 degrees and the means that  the earth is experiancing a solar radiation. In the tilt investigation lab that we did in class we put leafs in a cup with something in it and the one directly under the light chnaged to the color blue and it started off as the color green. Because it turned blue that means the cup changed the most and  has a high amount of o2.  it conects to the zombie fires becasuse the more fire, the more Co2 is realesed and the temp increases.",If the temperature on earth continous Then the eath would change and the tempeture would change and the permafrost will melt.,0,"To improve your response, focus on organizing your explanation to more clearly show the flow of energy and matter in the zombie fire system. Try to explicitly connect your class investigation, such as the ""tilt investigation lab,"" to the concept of solar radiation affecting the permafrost and zombie fires. For example, explain more clearly how the change in color of the leaves in your experiment relates to photosynthesis and the carbon cycle. This will help demonstrate how energy flows through the system. Additionally, consider using the sentence starters provided to structure your answer more clearly and ensure each part of your response addresses the question directly.","You did a great job discussing how peat is formed by stating, ""Peat is formed by dead plants and the zombie fires goes under the ice in the winter."" This shows a clear understanding of the role of peat in the zombie fire system. Additionally, you included quantitative evidence by mentioning ""1.5 trillion metric tons of carbon in peat in the permafrost,"" which is a strong piece of evidence from class discussions."
Zombie fires can burn under ice because its so hot and to the point were it can never go away the ice is just cooling it down but its not going away,If the temperture on earth continues to rise the fire on the peat will rise higher and burn the trees and stuff because of how hot the temp is,0,"To strengthen your response, you should include more detailed information about how peat is formed in the arctic and why it hasn't decomposed. This is crucial for understanding how there is enough matter and energy in the system for these fires to continue burning. Also, try to incorporate specific evidence from class activities, such as the burning fuel samples demonstration or the Yeast/Decomposition Lab, to support your claim. Additionally, clearly define how energy flows and how matter transforms in this system, using the sentence starters provided to guide you.","You've made an interesting observation about the heat of zombie fires and their resilience, stating that 'it's so hot and to the point where it can never go away.' This introduces an important aspect of zombie fires, which is their ability to persist despite the presence of ice."
"Originally, peat formed in the arctic because the tilt of the Earth was very different 11,000 years ago. 11,000 years ago, the tilt of the Earth was 24.5 degrees, meaning that the are recieved more solar radiation and energy from the Sun, which are vital inputs in the process of photosynthesis (Photosynthesis requiring CO2 (Carbon Dioxide) and H2O (Water) and Energy in order for a plant to make C6H12O6 (Sugar) and O2 (Oxygen)), meaning that the amount of plant life increased. Meanwhile, today, the tilt of the Earth is 22 degrees, meaning that there is much less photosynthesis occurring in the arctic today. So how does this peat still exist today? Well, for decomposition to occur, two things are needed: heat and oxygen. We know that heat is needed for decomposition to occur because in the yeast experiment, the warm beaker had 5 centimeters of foam after 20 minutes, while the cold one only had 0.4 centimeters of foam after the same amount of time, meaning that more carbon dioxide was emitted at a higher temperature through decomposition, as yeast is a decomposer. Because the peat is trapped underground under the permafrost, it is not recieving as much heat since it is directly under the permafrost, meaning that the cold from the permafrost transfers to the peat, so it ends up decomposing much less. Second, we know that oxygen affects decomposition because in the Oxygen and Decomposition sheet, the jar with no additional oxygen went from around 85% plant matter to around 60% plant matter after 125 days, while the jar with high additional oxygen went down from around 80% plant matter to only around 10% plant matter after the same amount of time. We know that matter cannot be created or destroyed, so less plant matter in the jar mmust mean that the plants were turned into gas (CO2) by the decomposers that were also put into these jars. This means that the decomposers converted more of the plant matter to carbon dioxide in the jars with more oxygen, meaning that more oxygen means a higher rate of decomposition. All in all, zombie fires can burn under the ice because as the fire burns throughout the season it is above ground, it begins to melt away the permafrost, allowing more oxygen to reach the peat that is stored under it, meaning that the fire both has access to more fuel and more oxygen, allowing it to continue the process of combustion (Requiring fuel (In this case, Peat), oxygen, and heat in order for something to burn.) underground safely.","If the temperature on Earth continues to rise, the amount of fires and CO2 will also increase because the increased temperatures will melt the permafrost, thus exposing the amount of peat and increasing the amount of peat that burns, meaning that we will have more and bigger fires. And as we know from the burning experiment, the peat produces the most carbon dioxide because when we burnt the peat, the BTB that turns from blue to green in the presence of carbon dioxide was most green in the container with the peat in it. So as all this peat burns, even more CO2 will be released into the atmosphere.",4,"To further improve your response, consider organizing your writing into clearer sections that address each part of the prompt explicitly. For instance, you could first explain how peat is formed and why it hasn't decomposed, and then detail how these factors contribute to zombie fires. This would make your argument more cohesive and easier to follow. Additionally, reinforcing the connection between the scientific concepts (like photosynthesis and decomposition) and the phenomenon of zombie fires would help deepen your analysis. Make sure to explicitly connect these ideas, using transitional phrases to guide the reader through your explanation.","You have done an excellent job of using specific evidence from class activities to support your claims about zombie fires. For example, your reference to the yeast experiment effectively demonstrates how heat affects decomposition, especially when you mention the warm beaker having 5 centimeters of foam compared to the cold one's 0.4 centimeters. This clearly illustrates the role of temperature in decomposition. Additionally, your use of the data from the Oxygen and Decomposition sheet strengthens your explanation of how oxygen influences the rate of decomposition, which is crucial in understanding how peat remains preserved under ice."
"there was enough matter in the system for the zombie fires to burn due to peat. 
11,000 years ago the earths tilt was 24.5 degrees. nowadays the earths tilt is 22 learned in the tilt model. the greater the earths tilt the more sun the arctic gets so 11,000 years ago the arctic got more sun and plants there could do a lot of photsynthisis. we know this becuase of our in-class lab where we compared the PSN making of three diferent plants in direct light, indirect light, and no light. after the lab we found out that direct light made the BTB the bluest therefore did the most PSN.  there is so much peat int he arctic becuase 11,000 years ago all the plants did a lot of PSN and when they died they did not decompose and then they turned into peat. the proper definition of peat is  ""a carbon based plant material made of long chains of glucose that had been under the permafrost and has not decomposed. the peat is under what is called permaforst which is permantent frozen soil. and the reason the peramost is causing the peat not to decompose yet is becuase in the yeast lab we learned that warm water caused the yeast to decompose the sugar the most and the cold water the least. so we know now that for the peat to decompse it needs to be in a  warm envierment but the permafrost is freezing so the peat cannot be decomposed. becuase the peat is a excellent fire burning substance learned in the burning fuels lab the peat gets burned by the fire all winter long and there is so much peat becuase of all the PSN that happened all those years ago and becuase the permafrost caused the peat to not decompose. ","if the earths tempatures continue to rise I beilve that zombie firest will cease to exsist. this is becuase the reason peat has not decomposed yeat is becuase of the permafrost it resides in and the permafrost is like the glaciers; as global warming happens the permafrost will slowly melt, letting the peat to decompose. and becuase the zombie fires keep burning underground is becuase of all the peat that is there and if all the peat decomposes, the fires cannot burn underground in the winter therefore the zombie fires to just become normal fires and die out in the winter.",3,"To enhance your response, consider organizing your ideas more clearly by using the provided sentence starters. For instance, starting with 'Zombie fires can burn under ice because...' could help frame your explanation more effectively. Also, while you have included evidence from multiple class activities, make sure to explicitly connect each piece of evidence back to your main claim. For example, after mentioning the yeast lab, you could explicitly state how the cold environment prevents decomposition of peat, reinforcing why zombie fires can persist. Lastly, ensure that your writing is concise and check for spelling and grammar errors, such as 'photsynthisis' and 'peramost,' to make your argument more coherent and professional.","You did a great job incorporating evidence from the 'tilt model' and the 'in-class lab' to explain how peat was formed in the Arctic. Your reference to the Earth's tilt 11,000 years ago and its impact on photosynthesis ('so 11,000 years ago the arctic got more sun and plants there could do a lot of photsynthisis') effectively ties in scientific concepts to your explanation. Additionally, you clearly cited the definition of peat and connected it to the 'burning fuels lab' to support your claim about zombie fires."
"there is enough energy and matter in the zombie fire system because 11,000 years ago the earths tilit was bigger about 24 degress causeing more sun reaching the artic causing there to be plantes and a higher amount of photosyntheisis.when these plantes would die there remains (peat) was left behind and because of less sun hitting the artic today they where precerved under the ice so when zombie fires start they mealt the ice and reach the peat (peat is flamable)this causes zombie fires to have enough fuel to continue burning.(sorry about spelling i just wanna go home i cant)",this will lead to an extiction because many animals are not made for warmer tempetures(can i retake this i literally dont have the energy right now),1,"To strengthen your explanation further, I recommend organizing your response into distinct parts that address each component of the question more clearly. Start by explaining how peat forms and why it hasn't decomposed, as these are key parts of the zombie fire system. You could use the sentence starters provided to help structure your ideas. Additionally, be sure to include specific evidence from our class activities, such as the Burning Fuel Samples demonstration or the Yeast/Decomposition Lab, to reinforce your claims. Finally, consider revising for spelling and grammar to ensure your writing is clear and professional.","You've done a great job of beginning to describe the historical context of the Arctic's environmental changes, which is crucial in understanding zombie fires. Specifically, you mentioned that ""11,000 years ago the earth's tilt was bigger about 24 degrees causing more sun reaching the Arctic,"" which helps explain the initial growth of plant life and peat formation. This is a valuable connection between solar radiation and the carbon cycle, and it's clear that you understand how these factors contribute to the presence of peat."
"There was enough matter and energy in the system for zombie fires to burn under ice because tons of peat was formed and there is still a lot of peat in the arctic.  So much peat formed in the arctic because the arctic was tilted towards the sun at the time, and when you are in a more direct path to the sun, lots of plants are going to grow because there is energy that comes from the sun.  In the lab we did where we see how much O2 is realeased from the plants depending on how much light it gets, we saw that the plants that were right under the light made the BTB turned bluer than the plants that had indirect light and the plants that had no light.  This shows that the plants that got more energy/sunlight go through photosynthesis better than plants that don't and 1000s of years ago the arctic got a lot of sunlight so plants were able to be grown and compressed into peat.  The reason that there is still a lot of peat in the arctic is because it can't decompose because of the permafrost surrounding it.  The lab we did with the yeast demonstrated this.  When things decompose, they represent the CO2 bubbles in the yeast.  When the water, which represented the surrounding area around the peat, was cold, there weren no CO2 bubbles (decomposition) at 10 minutes.   But when the water was warm, there was 5.1 cm of CO2 bubbles.  This shows why there is no decomposition in the peat because when the surrounding area is cold, there is no decomposition, and the permafrost makes the surrounding area cold.  This relates to zombie fires because now the fires can burn the peat under ground in the winter because there is so much of it from when the arctic was tilted towards the sun  that hasn't decomposed because the permafrost is stopping the process of decomposition.","If the temperature on earth continues to rise then it could either go two ways for zombie fires.  It could melt the permafrost and then the peat starts decomposing, or it could make it so more peat is created in the arctic so zomie fires have even more things to burn.  I think the second thing is going to happen because if plants in the arcti start growing more now that temperatures are rising, it won't even matter if the peat all ready there starts to decompose because new burnable things will be popping up constantly.",3,"While your response is thorough, consider organizing your ideas more clearly to enhance readability. Start by clearly stating your main claim, then follow with evidence and explanations. For instance, you might structure it by first explaining how peat forms, then discuss why it hasn’t decomposed, and finally connect these points to zombie fires. Additionally, be sure to use clear transitions between each piece of evidence and explanation. This will help the reader follow your argument more easily. Also, try to address both parts of the question separately to ensure clarity and completeness in your response.","Your response does a great job of integrating specific evidence from the investigations we did in class, such as the ""Elodea/Earth’s Tilt lab"" and the ""Yeast/Decomposition Lab."" You effectively describe how the arctic tilt towards the sun allowed for more plant growth, which you connect to the increased formation of peat. This use of detailed evidence strengthens your explanation of how there was enough matter and energy for zombie fires to burn under ice. Additionally, you clearly articulate the role of permafrost in preventing decomposition, using the yeast lab data to support your claim."
"zombie fires can burn under ice because of the peat under the permafrost. the peat under the perma frost dosent gets little to no oxygen under the permafrost. in the oxygen and decomposition worksheet it shows us that when there is no additional oxygen the decomposigtion process is slower it shows us on the graph that the starting point is 85% and ends at 60% while the high additional oxygen starts at 85% and ends at 5% this shows how the peat dosent decompose as fast under the permafrost and the peat is a main reason on how its still burning. 11,000 years ago the arctic was very different because of its tilt, the tilt of the earth was 24.5 degrees but now its 22.1 degrees. when there is a bigger tilt there is more solar radiation this means that there was more sun 11,000 years ago which shows how there wasnt any ice years ago so all of the dead plants woould go into the lakes and it would get frozen over. these both connect to zombie fires burning peat underground because it talks about how peat dosent decompose fast so zombie fires last long and it also talks about hwo the peat was formed and got there.",if the temperature on earth countinues to rise the peat will slowly secrease over thousands of years but the zombie fires will still go on for a long period of time.,2,"To improve your response, consider organizing your explanation more clearly to enhance the flow of ideas. For instance, start by explicitly making your claim about how peat contributes to zombie fires. Then, proceed with the evidence and explanation, ensuring that each part logically leads to the next. Additionally, to meet the task criteria more fully, you could make a more explicit connection to the energy flow into and out of the zombie fire system, possibly by discussing how the trapped energy in peat can sustain fires despite the ice. Finally, ensure your writing is concise and your sentences are complete, as this will make your explanation more professional and easier to follow.","You have done a great job explaining how peat under the permafrost contributes to the phenomenon of zombie fires. Your use of the oxygen and decomposition worksheet as evidence is particularly strong. You cited the specific data from the graph, noting how the decomposition process is slower with little to no oxygen, which supports your claim that peat does not decompose as fast under the permafrost. This is a clear connection to the zombie fire system and demonstrates your understanding of the matter and energy involved."
"Zombie fires have enough matter and energy in the system to burn under permafrost (ice) because of peat. Peat is made out of dead vegetation (plants). In the lab that we did with beakers, we used yeast to represent peat and the foam that was created as carbon dioxide. We used 3 beaker with different heats, they were warm, room temp., and cold. Now we put the same amount of everything in each, and it showed at the end of 12 minutes, that the 3rd beaker (the warm one) had around 4cm of foam (carbon dioxide) while the room temp. one had around 2cm of foam and the cold one had less than 1cm (0.7cm). Now how does this relate to the claim?, well peat is made of dead plants that decomposed. This is because of photosynthesis. Which is cause by the earth's tilt. Before this all happened the earth had a less of a tilt, causing more heat in Alaska. But now that the earth had a tilt between 22-23 degrees, it causes less heat Alaska. Now Alaska is super cold. Causing the decompisition process to be slower. This is why peat is still in Alaska. And because of this slow process, zombie fires have enough matter and energy from dead vegetation under the ice to keep the fire ignited releasing smoke (CO2) into the air, increasing the tempature in the air (also) to create more of the zombie fire. Making it larger in size.","If the tempature on Earth continues to rise, my prediction is that there would be more zombie fires. This is because our forests and places with lots of wood and grass are already flamible, then to add that there is probably lots of peat there, making the world have lots of fires.",2,"To enhance your response, consider organizing your explanation more clearly by starting with a concise claim that directly addresses the question. For example, you could begin with 'Zombie fires can burn under ice because peat provides both the matter and energy needed for combustion.' Following this, ensure that your evidence directly supports this claim. You mention the Earth's tilt and its influence on temperature, which is a complex idea; make sure to clarify how this connects back to the slow decomposition of peat and the resulting energy availability. Additionally, elaborate on how the presence of peat in Alaska contributes to zombie fires, focusing on the continuity and flow of energy and matter within the system. Connecting these ideas more explicitly will strengthen your argument and fulfill the assignment criteria more completely.","Your response effectively addresses the formation and persistence of peat in the Arctic, linking it to the concept of zombie fires. You clearly describe how peat, composed of dead vegetation, provides the necessary matter and energy for zombie fires to burn under permafrost. Additionally, you included a detailed recount of the yeast/decomposition lab, which is a strong piece of evidence from our class activities. You noted that 'the 3rd beaker (the warm one) had around 4cm of foam (carbon dioxide) while the room temp. one had around 2cm of foam and the cold one had less than 1cm (0.7cm),' effectively showcasing how temperature impacts decomposition and carbon dioxide production."
"The zombie fires can burn under the ice because of the excesive amout of peat that is underneath the ice and permafrost. We saw that in our burning lab that peat had burned the longest compared to the wood and leaves. This shows that peat can carry on large scale fires for a very long time, and that it will also be able to keep that fire burning under ground in the winter because of the large amounts of enegry and sugar the peat has. When the peat burns it relases CO2 and H2O into the air, and it also melts the permafrost that has more peat underneath, allowing the fire to be able to spread even more. But what is peat made of? In the Peat, Permafrost, Carbon reading packet we see that peat is made out of compressed layers from dead plant matter usually underneath an open body of water. But how did all the peat not decompose? Since this peat forms under a body of water, the lack of oxygen will slow decompososition, but also the cold temperatures will affect this. We saw that in our decomposition investgation lab with the yeast that the warm temprature grew foam of about 3.2 cm in height. This foam represents decomposition since the yeast is eating the sugar and relases CO2, just like how other things break down matter and realse CO2. But when looking at the cold beaker, it only grew about 1cm of foam, much less than the warm temprature. From this lab we can see that the temprature of somthing can affect the decompostion rate. Since the artic is so cold, decomposistion will be slower, therefore peat will last longer. The lack of oxygen of were the peat is also affects this, we saw that in Oxygen and Decomposition that the plant matter with no additional oxygen had about 60% of its plant matter left. While the one with the most additional oxygen had about 15% left. This shows that the presence of oxygen can greatly affect the rate of decomposition. Since peat formed in a cold, low oxygen enviroment, it would have barely decomposed because of these conditions. But for peat to form how did thoose once alive plants even get there? We see that in the Geologic Time reading sheet that 11,000 years ago the earth was at a different tilt, of about 24.5 degrees, allowing more sun to shine on the artic. This is important because we saw that in our tilt investigation lab that the aquatic plants in the direct sunlight had gone through more photosynthesis since the BTB had changed from green to blue, meaning more oxygen was created, showing more photosynthesis happened. Then we saw the indirect light aquatic plant had barely changed, being a green blueish color showing that it had less photosynthesis than the direct sunlight plant. Then the one with no sunlight of course was a yellow green, showing no photosynthesis happened. This connects back to the 24.5 degree tilt because the Artic was getting more direct sunlight therefore allowing more photosynthesis to happen in plants, therefore allowing more plants to die and form peat. Then that peat was spared from decomposistion and had stayed under the permafrost not decomposing, allowing to be ignited by the fires and have fires survive under the ground.","If temperatures continue to rise on earth, there will be more zombie fires, and just fires in general, happening in the artic. Since the temperature is rising, more peat will be exposed, allowing fires to continue to spread as more peat is accsessable to them. Then the melting permafrost could also expose more zombie fires to reignite as then oxygen will be present and fanning the fire. But, if permafrost melts, that means peat will be in greater contact with oxygen, and as seen in our Oxygen and Decomposistion Sheet, the greater presence of oxygen there is, the faster decomposistion will happen. Fires may rage on for long periods of time in the artic, but eventually, the peat that fire burns will eventually decompose leaving it nothing to burn. The rising tempratures could also mean less snow and ice, so then fires won't have to burn underground and they can keep burining all the time. But if these fires then keep burning, they won't allow any new peat to form for them to burn. So eventually, after a very long time, the fires would eventually stop since all the peat will either be burned to ash or would have decomposed because of the oxygen now present all around them. ",4,"To improve your response, consider organizing your ideas more clearly by breaking down your explanation into distinct paragraphs. Each paragraph can focus on a different aspect of your explanation, such as the formation of peat, the conditions preventing its decomposition, and how these factors contribute to zombie fires. This will help the reader follow your argument more easily. Additionally, while you referenced several class activities, be sure to explicitly connect these activities to specific scientific concepts like the carbon cycle or cellular respiration. For example, when discussing how peat releases CO2, you could link this to the carbon cycle to deepen your explanation. Finally, ensure that your writing is concise and free of minor grammatical errors, as this will enhance clarity and readability.","You've done a fantastic job of incorporating evidence from our class activities, such as the burning lab, decomposition investigation lab, and the tilt investigation lab. You clearly explained how peat's ability to carry large-scale fires relates to its composition, stating that 'peat had burned the longest compared to the wood and leaves,' which demonstrates your understanding of peat's properties. You also effectively used the decomposition investigation lab data to explain how temperature affects decomposition rates, noting that the warm temperature grew foam of about 3.2 cm in height compared to the cold beaker's 1 cm. This shows a solid connection between class experiments and your explanation of zombie fires."
